,team1,team2,round,winner,t1t_g,t1t_mp,t1t_fg,t1t_fga,t1t_fg_pct,t1t_fg2,t1t_fg2a,t1t_fg2_pct,t1t_fg3,t1t_fg3a,t1t_fg3_pct,t1t_ft,t1t_fta,t1t_ft_pct,t1t_orb,t1t_drb,t1t_trb,t1t_ast,t1t_stl,t1t_blk,t1t_tov,t1t_pf,t1t_pts,t1t_pts_per_g,t1o_g,t1o_mp,t1o_fg,t1o_fga,t1o_fg_pct,t1o_fg2,t1o_fg2a,t1o_fg2_pct,t1o_fg3,t1o_fg3a,t1o_fg3_pct,t1o_ft,t1o_fta,t1o_ft_pct,t1o_orb,t1o_drb,t1o_trb,t1o_ast,t1o_stl,t1o_blk,t1o_tov,t1o_pf,t1o_pts,t1o_pts_per_g,t2t_g,t2t_mp,t2t_fg,t2t_fga,t2t_fg_pct,t2t_fg2,t2t_fg2a,t2t_fg2_pct,t2t_fg3,t2t_fg3a,t2t_fg3_pct,t2t_ft,t2t_fta,t2t_ft_pct,t2t_orb,t2t_drb,t2t_trb,t2t_ast,t2t_stl,t2t_blk,t2t_tov,t2t_pf,t2t_pts,t2t_pts_per_g,t2o_g,t2o_mp,t2o_fg,t2o_fga,t2o_fg_pct,t2o_fg2,t2o_fg2a,t2o_fg2_pct,t2o_fg3,t2o_fg3a,t2o_fg3_pct,t2o_ft,t2o_fta,t2o_ft_pct,t2o_orb,t2o_drb,t2o_trb,t2o_ast,t2o_stl,t2o_blk,t2o_tov,t2o_pf,t2o_pts,t2o_pts_per_g,sum_g,sum_mp,sum_fg,sum_fga,sum_fg_pct,sum_fg2,sum_fg2a,sum_fg2_pct,sum_fg3,sum_fg3a,sum_fg3_pct,sum_ft,sum_fta,sum_ft_pct,sum_orb,sum_drb,sum_trb,sum_ast,sum_stl,sum_blk,sum_tov,sum_pf,sum_pts,sum_pts_per_g
31,Kansas State,Northeastern,2,1,33,6600,784,1818,.431,551,1124,.490,233,694,.336,371,559,.664,308,792,1100,454,251,75,372,532,2172,65.8,33,6600,695,1678,.414,471,960,.491,224,718,.312,341,512,.666,271,794,1065,382,204,94,490,547,1955,59.2,33,6725,864,1791,.482,542,961,.564,322,830,.388,461,614,.751,230,818,1048,473,203,71,371,528,2511,76.1,33,6725,855,1870,.457,629,1198,.525,226,672,.336,383,524,.731,263,781,1044,391,179,69,371,577,2319,70.3,0.0,0.0,80.0,219.0,-0.007999999999999952,167.0,401.0,-0.039999999999999925,-87.0,-182.0,-0.02799999999999997,-48.0,-43.0,-0.02200000000000002,70.0,-39.0,31.0,-10.0,23.0,-21.0,-118.0,34.0,25.0,0.7999999999999972
32,Iowa State,Ohio State,2,0,34,6800,951,1994,.477,663,1205,.550,288,789,.365,443,605,.732,321,878,1199,518,238,158,367,502,2633,77.4,34,6800,854,2039,.419,583,1237,.471,271,802,.338,344,481,.715,376,799,1175,426,176,90,429,556,2323,68.3,33,6625,797,1824,.437,548,1098,.499,249,726,.343,455,620,.734,310,835,1145,470,195,83,413,592,2298,69.6,33,6625,765,1820,.420,540,1139,.474,225,681,.330,430,578,.744,295,807,1102,389,196,103,407,616,2185,66.2,0.0,0.0,65.0,-49.0,0.04099999999999998,72.0,9.0,0.05400000000000005,-7.0,-58.0,0.013999999999999957,74.0,82.0,0.027000000000000024,-70.0,51.0,-19.0,11.0,63.0,88.0,-68.0,-30.0,197.0,5.700000000000017
33,Houston,Georgia State,2,1,34,6800,902,2030,.444,589,1159,.508,313,871,.359,454,647,.702,422,969,1391,503,219,153,386,648,2571,75.6,34,6800,690,1880,.367,477,1107,.431,213,773,.276,489,707,.692,338,804,1142,346,181,78,417,595,2082,61.2,33,6600,885,1908,.464,561,1072,.523,324,836,.388,449,677,.663,267,816,1083,410,263,157,384,572,2543,77.1,33,6600,839,1987,.422,543,1090,.498,296,897,.330,433,618,.701,416,869,1285,490,166,103,501,581,2407,72.9,0.0,0.0,166.0,229.0,0.034999999999999976,94.0,70.0,0.05199999999999999,72.0,159.0,0.024999999999999967,-51.0,-119.0,0.04799999999999993,233.0,218.0,451.0,237.0,-59.0,21.0,86.0,62.0,353.0,10.200000000000003
34,Wofford,Seton Hall,2,1,33,6650,997,2022,.493,633,1148,.551,364,874,.416,381,545,.699,350,826,1176,507,227,99,359,557,2739,83.0,33,6650,772,1810,.427,536,1077,.498,236,733,.322,385,550,.700,253,708,961,376,180,84,460,510,2165,65.6,33,6675,863,1959,.441,632,1245,.508,231,714,.324,483,682,.708,351,830,1181,447,231,129,410,619,2440,73.9,33,6675,819,1920,.427,562,1155,.487,257,765,.336,462,625,.739,346,839,1185,438,192,146,468,607,2359,71.5,0.0,0.0,181.0,173.0,0.05199999999999999,27.0,-19.0,0.03200000000000003,154.0,192.0,0.10599999999999998,-25.0,-62.0,0.030000000000000027,92.0,127.0,219.0,122.0,8.0,32.0,-43.0,35.0,493.0,15.0
35,Kentucky,Abilene Christian,2,1,33,6625,878,1835,.478,679,1288,.527,199,547,.364,577,780,.740,384,888,1272,457,199,167,417,537,2532,76.7,33,6625,769,1907,.403,513,1176,.436,256,731,.350,365,517,.706,308,668,976,371,187,99,414,648,2159,65.4,33,6650,880,1858,.474,634,1221,.519,246,637,.386,452,632,.715,322,771,1093,514,288,90,397,619,2458,74.5,33,6650,723,1681,.430,536,1117,.480,187,564,.332,449,624,.720,281,772,1053,343,186,91,548,573,2082,63.1,0.0,0.0,-48.0,-249.0,0.030999999999999972,68.0,8.0,0.05199999999999999,-116.0,-257.0,-0.03999999999999998,209.0,255.0,0.039000000000000035,35.0,221.0,256.0,-85.0,-90.0,69.0,154.0,-157.0,-3.0,-0.10000000000000142
36,Duke,UCF,3,1,34,6825,1037,2173,.477,790,1355,.583,247,818,.302,518,751,.690,455,966,1421,541,322,232,446,539,2839,83.5,34,6825,858,2171,.395,637,1418,.449,221,753,.293,360,521,.691,407,806,1213,418,222,108,498,600,2297,67.6,31,6225,765,1652,.463,554,1056,.525,211,596,.354,495,767,.645,300,839,1139,411,178,139,367,524,2236,72.1,31,6225,715,1810,.395,498,1117,.446,217,693,.313,346,536,.646,347,725,1072,388,174,86,380,665,1993,64.3,0.0,0.0,129.0,160.0,0.013999999999999957,97.0,-2.0,0.05499999999999994,32.0,162.0,-0.03199999999999997,9.0,-1.0,0.0,95.0,46.0,141.0,100.0,96.0,71.0,-39.0,80.0,299.0,8.100000000000009
37,Liberty,Virginia Tech,3,0,34,6800,921,1877,.491,621,1061,.585,300,816,.368,374,485,.771,263,850,1113,505,217,91,373,513,2516,74.0,34,6800,741,1785,.415,525,1110,.473,216,675,.320,368,549,.670,285,753,1038,341,177,88,463,525,2066,60.8,32,6450,824,1732,.476,517,953,.542,307,779,.394,413,545,.758,285,758,1043,491,213,74,363,489,2368,74.0,32,6450,690,1701,.406,407,848,.480,283,853,.332,324,449,.722,286,673,959,389,162,93,450,522,1987,62.1,0.0,0.0,46.0,61.0,0.006000000000000061,-14.0,-154.0,0.04999999999999993,60.0,215.0,-0.014000000000000012,-83.0,-160.0,0.06499999999999995,-21.0,12.0,-9.0,62.0,-11.0,22.0,-3.0,21.0,69.0,1.3000000000000043
38,Maryland,LSU,3,0,32,6400,807,1777,.454,575,1120,.513,232,657,.353,437,584,.748,351,901,1252,423,139,151,420,495,2283,71.3,32,6400,744,1876,.397,508,1137,.447,236,739,.319,358,498,.719,296,683,979,387,228,110,303,562,2082,65.1,32,6575,912,1974,.462,693,1297,.534,219,677,.323,561,744,.754,431,810,1241,420,291,138,422,597,2604,81.4,32,6575,821,1884,.436,570,1148,.497,251,736,.341,444,645,.688,353,726,1079,357,209,94,480,630,2337,73.0,0.0,0.0,-28.0,-189.0,0.030999999999999972,-56.0,-166.0,0.02899999999999997,28.0,-23.0,0.05199999999999999,-38.0,-13.0,-0.03700000000000003,-23.0,134.0,111.0,-27.0,-171.0,-3.0,175.0,-34.0,-66.0,-2.200000000000003
39,Minnesota,Michigan State,3,0,34,6825,840,1922,.437,662,1368,.484,178,554,.321,549,808,.679,388,872,1260,504,163,136,407,550,2407,70.8,34,6825,868,1999,.434,640,1326,.483,228,673,.339,388,566,.686,336,836,1172,436,203,153,385,653,2352,69.2,34,6850,944,1944,.486,662,1209,.548,282,735,.384,510,680,.750,366,1024,1390,645,178,186,437,575,2680,78.8,34,6850,793,2098,.378,546,1320,.414,247,778,.317,395,582,.679,372,714,1086,421,218,100,349,622,2228,65.5,0.0,0.0,-179.0,77.0,-0.10499999999999998,-94.0,153.0,-0.13300000000000006,-85.0,-76.0,-0.08500000000000002,46.0,144.0,-0.07799999999999996,58.0,-274.0,-216.0,-156.0,0.0,-103.0,-66.0,-56.0,-397.0,-11.700000000000003
40,Gonzaga,Baylor,3,1,33,6600,1062,1997,.532,805,1293,.623,257,704,.365,551,718,.767,315,960,1275,594,249,178,342,530,2932,88.8,33,6600,788,2028,.389,571,1326,.431,217,702,.309,354,509,.695,357,715,1072,324,170,64,447,617,2147,65.1,32,6425,816,1853,.440,562,1105,.509,254,748,.340,407,604,.674,428,794,1222,443,196,152,424,599,2293,71.7,32,6425,743,1762,.422,516,1097,.470,227,665,.341,437,643,.680,320,699,1019,411,191,135,397,577,2150,67.2,0.0,0.0,201.0,-122.0,0.125,188.0,-41.0,0.15299999999999997,13.0,-81.0,0.056999999999999995,227.0,248.0,0.07800000000000007,-150.0,150.0,0.0,238.0,74.0,97.0,-132.0,-109.0,642.0,19.200000000000003
41,Murray State,Florida State,3,0,31,6200,938,1890,.496,696,1195,.582,242,695,.348,464,629,.738,333,839,1172,561,235,142,376,505,2582,83.3,31,6200,767,1869,.410,582,1214,.479,185,655,.282,382,531,.719,347,709,1056,347,179,106,440,548,2101,67.8,34,6900,879,1984,.443,624,1224,.510,255,760,.336,534,721,.741,389,882,1271,438,237,145,459,651,2547,74.9,34,6900,774,1891,.409,535,1157,.462,239,734,.326,495,683,.725,325,787,1112,342,187,102,486,631,2282,67.1,0.0,0.0,66.0,-72.0,0.05199999999999999,25.0,-86.0,0.05499999999999999,41.0,14.0,0.055999999999999994,43.0,60.0,0.0030000000000000027,-78.0,35.0,-43.0,118.0,6.0,-7.0,-37.0,-63.0,216.0,7.699999999999989
42,Buffalo,Texas Tech,3,0,34,6825,1033,2232,.463,708,1264,.560,325,968,.336,497,719,.691,428,967,1395,573,249,138,402,617,2888,84.9,34,6825,863,2064,.418,635,1310,.485,228,754,.302,444,642,.692,343,918,1261,349,175,105,528,664,2398,70.5,32,6425,837,1774,.472,605,1144,.529,232,630,.368,433,595,.728,282,810,1092,429,232,157,396,567,2339,73.1,32,6425,626,1699,.368,423,1026,.412,203,673,.302,442,639,.692,324,706,1030,305,204,78,501,602,1897,59.3,0.0,0.0,-41.0,93.0,-0.05899999999999994,-109.0,-164.0,-0.04199999999999998,68.0,257.0,-0.03199999999999997,62.0,121.0,-0.03700000000000003,127.0,-55.0,72.0,100.0,46.0,-46.0,-21.0,-12.0,48.0,0.6000000000000085
43,Florida,Michigan State,3,0,34,6875,814,1908,.427,537,1080,.497,277,828,.335,416,579,.718,361,780,1141,416,244,126,400,581,2321,68.3,34,6875,763,1803,.423,544,1118,.487,219,685,.320,419,607,.690,362,798,1160,372,209,96,503,584,2164,63.6,34,6850,944,1944,.486,662,1209,.548,282,735,.384,510,680,.750,366,1024,1390,645,178,186,437,575,2680,78.8,34,6850,793,2098,.378,546,1320,.414,247,778,.317,395,582,.679,372,714,1086,421,218,100,349,622,2228,65.5,0.0,0.0,-100.0,259.0,-0.10399999999999998,-123.0,73.0,-0.12400000000000005,23.0,186.0,-0.05199999999999999,-118.0,-126.0,-0.04299999999999993,5.0,-328.0,-323.0,-180.0,75.0,-56.0,-191.0,44.0,-295.0,-8.600000000000001
44,Virginia,Oklahoma,3,1,32,6425,820,1715,.478,549,1053,.521,271,662,.409,388,520,.746,284,828,1112,464,180,122,289,469,2299,71.8,32,6425,636,1675,.380,450,990,.455,186,685,.272,304,467,.651,289,665,954,279,166,88,351,505,1762,55.1,32,6425,830,1864,.445,618,1244,.497,212,620,.342,405,586,.691,295,908,1203,406,190,99,390,504,2277,71.2,32,6425,796,1978,.402,526,1168,.450,270,810,.333,321,476,.674,348,837,1185,398,218,117,391,551,2183,68.2,0.0,0.0,150.0,154.0,0.05499999999999999,7.0,-13.0,0.019000000000000017,143.0,167.0,0.12799999999999995,0.0,-57.0,0.07800000000000007,48.0,92.0,140.0,177.0,42.0,52.0,-61.0,11.0,443.0,13.699999999999996
45,Oregon,UC-Irvine,3,1,35,7050,886,1970,.450,620,1195,.519,266,775,.343,429,597,.719,340,871,1211,467,272,149,412,622,2467,70.5,35,7050,747,1860,.402,500,1020,.490,247,840,.294,462,657,.703,340,807,1147,416,183,96,487,589,2203,62.9,35,7100,945,2058,.459,707,1398,.506,238,660,.361,423,608,.696,412,992,1404,463,199,148,412,648,2551,72.9,35,7100,760,1998,.380,540,1335,.404,220,663,.332,476,675,.705,356,790,1146,331,182,94,399,594,2216,63.3,0.0,0.0,-46.0,50.0,-0.031000000000000028,-47.0,112.0,-0.07299999999999995,1.0,-62.0,0.020000000000000073,20.0,7.0,0.025000000000000022,-56.0,-138.0,-194.0,-81.0,72.0,-1.0,-88.0,-21.0,-71.0,-2.000000000000007
46,Villanova,Purdue,3,0,34,6875,840,1912,.439,479,889,.539,361,1023,.353,491,675,.727,357,843,1200,485,184,103,371,558,2532,74.5,34,6875,825,1903,.434,575,1156,.497,250,747,.335,381,545,.699,318,792,1110,464,182,78,394,630,2281,67.1,32,6450,857,1920,.446,546,1066,.512,311,854,.364,413,564,.732,391,789,1180,462,208,129,341,558,2438,76.2,32,6450,732,1739,.421,475,991,.479,257,748,.344,417,569,.733,285,728,1013,404,154,121,417,540,2138,66.8,0.0,0.0,-110.0,-172.0,-0.020000000000000018,-167.0,-342.0,0.009000000000000008,57.0,170.0,-0.0020000000000000573,114.0,135.0,0.029000000000000026,-67.0,-10.0,-77.0,-37.0,-52.0,17.0,53.0,-90.0,-49.0,-2.0
47,Iowa,Tennessee,3,0,33,6650,862,1894,.455,595,1155,.515,267,739,.361,593,801,.740,343,836,1179,519,204,108,401,529,2584,78.3,33,6650,887,1979,.448,620,1160,.534,267,819,.326,389,569,.684,343,802,1145,524,220,90,433,680,2430,73.6,34,6875,1014,2039,.497,781,1395,.560,233,644,.362,520,682,.762,347,930,1277,619,203,184,380,593,2781,81.8,34,6875,806,2021,.399,532,1209,.440,274,812,.337,448,684,.655,399,763,1162,421,217,86,439,635,2334,68.6,0.0,0.0,-233.0,-103.0,-0.09099999999999997,-274.0,-191.0,-0.13900000000000007,41.0,88.0,0.010000000000000009,132.0,234.0,-0.051000000000000045,52.0,-133.0,-81.0,-203.0,-2.0,-80.0,27.0,-109.0,-293.0,-8.5
48,North Carolina Central,Washington,3,1,33,6625,850,1866,.456,638,1193,.535,212,673,.315,443,620,.715,387,840,1227,509,207,92,506,590,2355,71.4,33,6625,806,1857,.434,602,1206,.499,204,651,.313,372,558,.667,300,716,1016,430,198,119,444,536,2188,66.3,34,6825,835,1845,.453,581,1111,.523,254,734,.346,450,648,.694,322,754,1076,397,305,193,452,625,2374,69.8,34,6825,763,1841,.414,548,1191,.460,215,650,.331,448,635,.706,394,768,1162,446,209,84,551,626,2189,64.4,0.0,0.0,-28.0,5.0,-0.017000000000000015,3.0,67.0,-0.02699999999999997,-31.0,-62.0,-0.012999999999999956,69.0,49.0,0.05999999999999994,159.0,138.0,297.0,128.0,-87.0,-136.0,161.0,55.0,-18.0,-0.29999999999998295
49,Auburn,Kansas,3,1,35,7050,956,2135,.448,560,1083,.517,396,1052,.376,477,669,.713,419,793,1212,501,330,168,424,636,2785,79.6,35,7050,808,1865,.433,517,1041,.497,291,824,.353,477,675,.707,373,851,1224,419,203,125,615,607,2384,68.1,34,6875,928,2008,.462,682,1306,.522,246,702,.350,461,661,.697,353,940,1293,453,233,134,444,573,2563,75.4,34,6875,850,2083,.408,560,1219,.459,290,864,.336,393,577,.681,372,837,1209,449,220,117,438,587,2383,70.1,0.0,0.0,70.0,345.0,-0.039000000000000035,-79.0,-45.0,-0.04299999999999998,149.0,390.0,0.009000000000000064,-68.0,-90.0,-0.009999999999999898,65.0,-161.0,-96.0,78.0,114.0,26.0,-197.0,43.0,221.0,6.199999999999989
50,Ohio State,Houston,3,0,33,6625,797,1824,.437,548,1098,.499,249,726,.343,455,620,.734,310,835,1145,470,195,83,413,592,2298,69.6,33,6625,765,1820,.420,540,1139,.474,225,681,.330,430,578,.744,295,807,1102,389,196,103,407,616,2185,66.2,34,6800,902,2030,.444,589,1159,.508,313,871,.359,454,647,.702,422,969,1391,503,219,153,386,648,2571,75.6,34,6800,690,1880,.367,477,1107,.431,213,773,.276,489,707,.692,338,804,1142,346,181,78,417,595,2082,61.2,0.0,0.0,-180.0,-146.0,-0.06,-104.0,-93.0,-0.05199999999999999,-76.0,-53.0,-0.06999999999999995,60.0,102.0,-0.020000000000000018,-69.0,-137.0,-206.0,-76.0,-39.0,-95.0,37.0,-77.0,-376.0,-11.0
51,Wofford,Kentucky,3,0,33,6650,997,2022,.493,633,1148,.551,364,874,.416,381,545,.699,350,826,1176,507,227,99,359,557,2739,83.0,33,6650,772,1810,.427,536,1077,.498,236,733,.322,385,550,.700,253,708,961,376,180,84,460,510,2165,65.6,33,6625,878,1835,.478,679,1288,.527,199,547,.364,577,780,.740,384,888,1272,457,199,167,417,537,2532,76.7,33,6625,769,1907,.403,513,1176,.436,256,731,.350,365,517,.706,308,668,976,371,187,99,414,648,2159,65.4,0.0,0.0,116.0,284.0,-0.008999999999999952,-69.0,-41.0,-0.03799999999999998,185.0,325.0,0.07999999999999996,-216.0,-268.0,-0.03500000000000003,21.0,-102.0,-81.0,45.0,35.0,-53.0,-104.0,158.0,201.0,6.1000000000000085
52,Duke,Virginia Tech,4,1,34,6825,1037,2173,.477,790,1355,.583,247,818,.302,518,751,.690,455,966,1421,541,322,232,446,539,2839,83.5,34,6825,858,2171,.395,637,1418,.449,221,753,.293,360,521,.691,407,806,1213,418,222,108,498,600,2297,67.6,32,6450,824,1732,.476,517,953,.542,307,779,.394,413,545,.758,285,758,1043,491,213,74,363,489,2368,74.0,32,6450,690,1701,.406,407,848,.480,283,853,.332,324,449,.722,286,673,959,389,162,93,450,522,1987,62.1,0.0,0.0,45.0,-29.0,0.01200000000000001,43.0,-168.0,0.0719999999999999,2.0,139.0,-0.05299999999999999,69.0,134.0,-0.03700000000000003,49.0,75.0,124.0,21.0,49.0,143.0,35.0,-28.0,161.0,4.000000000000007
53,LSU,Michigan State,4,0,32,6575,912,1974,.462,693,1297,.534,219,677,.323,561,744,.754,431,810,1241,420,291,138,422,597,2604,81.4,32,6575,821,1884,.436,570,1148,.497,251,736,.341,444,645,.688,353,726,1079,357,209,94,480,630,2337,73.0,34,6850,944,1944,.486,662,1209,.548,282,735,.384,510,680,.750,366,1024,1390,645,178,186,437,575,2680,78.8,34,6850,793,2098,.378,546,1320,.414,247,778,.317,395,582,.679,372,714,1086,421,218,100,349,622,2228,65.5,0.0,0.0,-60.0,244.0,-0.08199999999999996,7.0,260.0,-0.09700000000000003,-67.0,-16.0,-0.08500000000000002,2.0,1.0,-0.004999999999999893,84.0,-226.0,-142.0,-161.0,122.0,-42.0,-146.0,14.0,-185.0,-4.8999999999999915
54,Gonzaga,Florida State,4,1,33,6600,1062,1997,.532,805,1293,.623,257,704,.365,551,718,.767,315,960,1275,594,249,178,342,530,2932,88.8,33,6600,788,2028,.389,571,1326,.431,217,702,.309,354,509,.695,357,715,1072,324,170,64,447,617,2147,65.1,34,6900,879,1984,.443,624,1224,.510,255,760,.336,534,721,.741,389,882,1271,438,237,145,459,651,2547,74.9,34,6900,774,1891,.409,535,1157,.462,239,734,.326,495,683,.725,325,787,1112,342,187,102,486,631,2282,67.1,0.0,0.0,169.0,-124.0,0.10899999999999999,145.0,-100.0,0.14400000000000002,24.0,-24.0,0.045999999999999985,158.0,171.0,0.05600000000000005,-106.0,150.0,44.0,174.0,29.0,71.0,-78.0,-107.0,520.0,15.899999999999991
55,Texas Tech,Michigan,4,1,32,6425,837,1774,.472,605,1144,.529,232,630,.368,433,595,.728,282,810,1092,429,232,157,396,567,2339,73.1,32,6425,626,1699,.368,423,1026,.412,203,673,.302,442,639,.692,324,706,1030,305,204,78,501,602,1897,59.3,34,6800,876,1945,.450,602,1163,.518,274,782,.350,367,526,.698,277,914,1191,475,209,143,298,477,2393,70.4,34,6800,760,1903,.399,600,1349,.445,160,554,.289,311,474,.656,305,878,1183,344,126,114,407,508,1991,58.6,0.0,0.0,95.0,33.0,0.05299999999999999,180.0,304.0,0.04400000000000004,-85.0,-271.0,0.0050000000000000044,-65.0,-96.0,-0.005999999999999894,-14.0,68.0,54.0,-7.0,-55.0,50.0,4.0,-4.0,40.0,1.999999999999993
56,Virginia,Oregon,4,1,32,6425,820,1715,.478,549,1053,.521,271,662,.409,388,520,.746,284,828,1112,464,180,122,289,469,2299,71.8,32,6425,636,1675,.380,450,990,.455,186,685,.272,304,467,.651,289,665,954,279,166,88,351,505,1762,55.1,35,7050,886,1970,.450,620,1195,.519,266,775,.343,429,597,.719,340,871,1211,467,272,149,412,622,2467,70.5,35,7050,747,1860,.402,500,1020,.490,247,840,.294,462,657,.703,340,807,1147,416,183,96,487,589,2203,62.9,0.0,0.0,45.0,-70.0,0.04999999999999999,-21.0,-112.0,0.03699999999999998,66.0,42.0,0.08799999999999991,117.0,113.0,0.07899999999999996,-5.0,99.0,94.0,134.0,-75.0,-19.0,13.0,-69.0,273.0,9.099999999999994
57,Purdue,Tennessee,4,1,32,6450,857,1920,.446,546,1066,.512,311,854,.364,413,564,.732,391,789,1180,462,208,129,341,558,2438,76.2,32,6450,732,1739,.421,475,991,.479,257,748,.344,417,569,.733,285,728,1013,404,154,121,417,540,2138,66.8,34,6875,1014,2039,.497,781,1395,.560,233,644,.362,520,682,.762,347,930,1277,619,203,184,380,593,2781,81.8,34,6875,806,2021,.399,532,1209,.440,274,812,.337,448,684,.655,399,763,1162,421,217,86,439,635,2334,68.6,0.0,0.0,-83.0,163.0,-0.07299999999999995,-178.0,-111.0,-0.08700000000000002,95.0,274.0,-0.004999999999999949,-76.0,-3.0,-0.10799999999999998,158.0,-106.0,52.0,-140.0,68.0,-90.0,-17.0,60.0,-147.0,-3.799999999999997
58,North Carolina Central,Auburn,4,0,33,6625,850,1866,.456,638,1193,.535,212,673,.315,443,620,.715,387,840,1227,509,207,92,506,590,2355,71.4,33,6625,806,1857,.434,602,1206,.499,204,651,.313,372,558,.667,300,716,1016,430,198,119,444,536,2188,66.3,35,7050,956,2135,.448,560,1083,.517,396,1052,.376,477,669,.713,419,793,1212,501,330,168,424,636,2785,79.6,35,7050,808,1865,.433,517,1041,.497,291,824,.353,477,675,.707,373,851,1224,419,203,125,615,607,2384,68.1,0.0,0.0,-104.0,-261.0,0.007000000000000006,-7.0,-55.0,0.016000000000000014,-97.0,-206.0,-0.02100000000000002,71.0,68.0,0.041999999999999926,41.0,182.0,223.0,-3.0,-118.0,-70.0,253.0,25.0,-234.0,-6.3999999999999915
59,Houston,Kentucky,4,0,34,6800,902,2030,.444,589,1159,.508,313,871,.359,454,647,.702,422,969,1391,503,219,153,386,648,2571,75.6,34,6800,690,1880,.367,477,1107,.431,213,773,.276,489,707,.692,338,804,1142,346,181,78,417,595,2082,61.2,33,6625,878,1835,.478,679,1288,.527,199,547,.364,577,780,.740,384,888,1272,457,199,167,417,537,2532,76.7,33,6625,769,1907,.403,513,1176,.436,256,731,.350,365,517,.706,308,668,976,371,187,99,414,648,2159,65.4,0.0,0.0,103.0,222.0,0.0020000000000000573,-54.0,-60.0,-0.014000000000000012,157.0,282.0,0.06899999999999995,-247.0,-323.0,-0.02400000000000002,8.0,-55.0,-47.0,71.0,26.0,7.0,-34.0,164.0,116.0,3.0999999999999943
60,Duke,Michigan State,5,0,34,6825,1037,2173,.477,790,1355,.583,247,818,.302,518,751,.690,455,966,1421,541,322,232,446,539,2839,83.5,34,6825,858,2171,.395,637,1418,.449,221,753,.293,360,521,.691,407,806,1213,418,222,108,498,600,2297,67.6,34,6850,944,1944,.486,662,1209,.548,282,735,.384,510,680,.750,366,1024,1390,645,178,186,437,575,2680,78.8,34,6850,793,2098,.378,546,1320,.414,247,778,.317,395,582,.679,372,714,1086,421,218,100,349,622,2228,65.5,0.0,0.0,28.0,156.0,-0.026000000000000023,37.0,48.0,-1.1102230246251565e-16,-9.0,108.0,-0.057999999999999996,43.0,132.0,-0.07199999999999995,54.0,-150.0,-96.0,-101.0,140.0,38.0,-140.0,-14.0,90.0,2.6000000000000085
61,Gonzaga,Texas Tech,5,0,33,6600,1062,1997,.532,805,1293,.623,257,704,.365,551,718,.767,315,960,1275,594,249,178,342,530,2932,88.8,33,6600,788,2028,.389,571,1326,.431,217,702,.309,354,509,.695,357,715,1072,324,170,64,447,617,2147,65.1,32,6425,837,1774,.472,605,1144,.529,232,630,.368,433,595,.728,282,810,1092,429,232,157,396,567,2339,73.1,32,6425,626,1699,.368,423,1026,.412,203,673,.302,442,639,.692,324,706,1030,305,204,78,501,602,1897,59.3,0.0,0.0,63.0,-106.0,0.039000000000000035,52.0,-151.0,0.07499999999999996,11.0,45.0,-0.010000000000000009,206.0,253.0,0.03600000000000003,0.0,141.0,141.0,146.0,51.0,35.0,0.0,-52.0,343.0,9.900000000000006
62,Virginia,Purdue,5,1,32,6425,820,1715,.478,549,1053,.521,271,662,.409,388,520,.746,284,828,1112,464,180,122,289,469,2299,71.8,32,6425,636,1675,.380,450,990,.455,186,685,.272,304,467,.651,289,665,954,279,166,88,351,505,1762,55.1,32,6450,857,1920,.446,546,1066,.512,311,854,.364,413,564,.732,391,789,1180,462,208,129,341,558,2438,76.2,32,6450,732,1739,.421,475,991,.479,257,748,.344,417,569,.733,285,728,1013,404,154,121,417,540,2138,66.8,0.0,0.0,59.0,-141.0,0.07299999999999995,28.0,-12.0,0.032999999999999974,31.0,-129.0,0.11699999999999994,88.0,58.0,0.09599999999999997,-111.0,102.0,-9.0,127.0,-40.0,26.0,14.0,-54.0,237.0,7.29999999999999
63,Auburn,Kentucky,5,1,35,7050,956,2135,.448,560,1083,.517,396,1052,.376,477,669,.713,419,793,1212,501,330,168,424,636,2785,79.6,35,7050,808,1865,.433,517,1041,.497,291,824,.353,477,675,.707,373,851,1224,419,203,125,615,607,2384,68.1,33,6625,878,1835,.478,679,1288,.527,199,547,.364,577,780,.740,384,888,1272,457,199,167,417,537,2532,76.7,33,6625,769,1907,.403,513,1176,.436,256,731,.350,365,517,.706,308,668,976,371,187,99,414,648,2159,65.4,0.0,0.0,39.0,342.0,-0.05999999999999994,-123.0,-70.0,-0.07100000000000001,162.0,412.0,0.009000000000000008,-212.0,-269.0,-0.028000000000000025,-30.0,-278.0,-308.0,-4.0,115.0,-25.0,-194.0,140.0,28.0,0.20000000000000284
64,Michigan State,Texas Tech,6,0,34,6850,944,1944,.486,662,1209,.548,282,735,.384,510,680,.750,366,1024,1390,645,178,186,437,575,2680,78.8,34,6850,793,2098,.378,546,1320,.414,247,778,.317,395,582,.679,372,714,1086,421,218,100,349,622,2228,65.5,32,6425,837,1774,.472,605,1144,.529,232,630,.368,433,595,.728,282,810,1092,429,232,157,396,567,2339,73.1,32,6425,626,1699,.368,423,1026,.412,203,673,.302,442,639,.692,324,706,1030,305,204,78,501,602,1897,59.3,0.0,0.0,-60.0,-229.0,0.0040000000000000036,-66.0,-229.0,0.017000000000000015,6.0,0.0,0.0010000000000000009,124.0,142.0,0.03499999999999992,36.0,206.0,242.0,100.0,-68.0,7.0,193.0,-12.0,10.0,-0.5
